event_timestamp,type,peer,details_totalPeers,details_avgScore,details_bannedPeers,details_disconnectedPeers,details_healthyPeers,details_bannedPercent,details_disconnectedPercent,details_needMorePeers,details_willDisconnect,details_disconnectReasons,details_attnetQueries,details_syncnetQueries,details_custodyQueries,details_isStarved,details_starvedSlots,details_headSlotGap,details_currentSlot,details_peerHeadSlot,details_peersToConnect,details_custodyGroups,details_subnetRequests,details_cachedENRs,details_timestamp,details_attnetsCount,details_syncnetsCount,details_ourPeersToConnect,details_status,details_error,details_durationMs,details_client,details_direction,details_address,details_connectionStatus,details_method,details_methodName,details_versions,details_sizeBytes,details_requestPreview,details_agentVersion,details_protocols,details_errorCode,details_errorMessage,details_latencyMs,details_success,details_reason,details_disconnectReason,details_scoreState,details_seqNumber,details_isResponseToOurPing,details_forkDigest,details_headSlot,details_finalizedEpoch,details_version,details_encoding,details_peerId,details_fork,details_seenAt,details_aggregatorIndex,details_slot,details_attestationCount,details_subnet,details_proposerIndex,details_blockRoot,details_peer,details_responseType,details_responseData,details_enrsFound,details_queryDurationMs,details_reasonCode,details_reasonText,details_peerFinalizedEpoch,details_metrics,details_validators,details_addedSubnets,details_removedSubnets,details_totalBefore,details_totalAfter,details_isValidator,details_note,timestamp_dt,peer_linked
2026-01-07T20:01:58.650Z,DIAL_ATTEMPT_START,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,205.0,,,,1767816118650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:01:58.650000+00:00,
2026-01-07T20:01:58.650Z,DISCOVERY_DIAL_DECISION,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,,,,,64.0,4.0,,attempt_dial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:01:58.650000+00:00,
2026-01-07T20:01:58.652Z,DIAL_CHECK_START,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:01:58.652000+00:00,
2026-01-07T20:01:58.652Z,DIAL_ATTEMPT_START,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,204.0,,,,1767816118652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:01:58.652000+00:00,
2026-01-07T20:01:58.652Z,DISCOVERY_DIAL_DECISION,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,attempt_dial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:01:58.652000+00:00,
2026-01-07T20:01:58.759Z,DIAL_SUCCESS,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:01:58.759000+00:00,
2026-01-07T20:01:58.759Z,DIAL_SUCCESS,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:01:58.759000+00:00,
2026-01-07T20:01:58.861Z,DIAL_SUCCESS,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:01:58.861000+00:00,
2026-01-07T20:01:58.861Z,DIAL_SUCCESS,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:01:58.861000+00:00,
2026-01-07T20:02:17.073Z,DIAL_CHECK_START,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:17.073000+00:00,
2026-01-07T20:02:17.073Z,DIAL_ATTEMPT_START,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,203.0,,,,1767816137073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:17.073000+00:00,
2026-01-07T20:02:17.073Z,DISCOVERY_DIAL_DECISION,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,attempt_dial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:17.073000+00:00,
2026-01-07T20:02:17.075Z,DIAL_CHECK_START,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:17.075000+00:00,
2026-01-07T20:02:17.075Z,DIAL_ATTEMPT_START,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,202.0,,,,1767816137075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:17.075000+00:00,
2026-01-07T20:02:17.075Z,DISCOVERY_DIAL_DECISION,16Uiu2HAmSiTdL3anbmHSTkStNusahPRVxEukm5sBtH4qRpuoQZ9C,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,attempt_dial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:17.075000+00:00,
2026-01-07T20:02:24.269Z,DIAL_CHECK_START,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:24.269000+00:00,
2026-01-07T20:02:24.269Z,DIAL_ATTEMPT_START,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,201.0,,,,1767816144269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:24.269000+00:00,
2026-01-07T20:02:24.269Z,DISCOVERY_DIAL_DECISION,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,attempt_dial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:24.269000+00:00,
2026-01-07T20:02:24.446Z,DIAL_SUCCESS,16Uiu2HAmR74oJYLFE5fbSp38mA3wmBo4MzTvQ7fbPxn7Shb86T3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07 20:02:24.446000+00:00,
