event_timestamp,type,peer,details_totalPeers,details_avgScore,details_bannedPeers,details_disconnectedPeers,details_healthyPeers,details_bannedPercent,details_disconnectedPercent,details_needMorePeers,details_willDisconnect,details_disconnectReasons,details_attnetQueries,details_syncnetQueries,details_custodyQueries,details_isStarved,details_starvedSlots,details_headSlotGap,details_currentSlot,details_peerHeadSlot,details_peersToConnect,details_custodyGroups
2026-01-07T20:01:58.756Z,RPC_OUT_REQUEST,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.759Z,DIAL_SUCCESS,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.759Z,DIAL_SUCCESS,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.858Z,PEER_CONNECT,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.858Z,PEER_TCP_CONNECTED,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.859Z,PEER_PING_SENT,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.859Z,RPC_OUT_REQUEST,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.859Z,RPC_OUT_REQUEST,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.861Z,DIAL_SUCCESS,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.861Z,DIAL_SUCCESS,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.883Z,PEER_IDENTIFY,16Uiu2HAmPt7ihNAGF3642nEv2nis1q7opMxP8N5P9vCbySn8D4k8,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.930Z,RPC_ERROR,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.930Z,RPC_ERROR,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.930Z,PEER_PING_ROUNDTRIP,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.933Z,PEER_DISCONNECT,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.933Z,PEER_TCP_DISCONNECTED,16Uiu2HAkyfJsphmNsi3eS8oameBcqqDFc8xT8ScZegNdhNAM8vfa,,,,,,,,,,,,,,,,,,,,
2026-01-07T20:01:58.954Z,PEER_PING_RECEIVED,16Uiu2HAkyfeMhq41GjS8b9Lhjc5knEVTRrKgByx5R7hxvscrfk4n,,,,,,,,,,,,,,,,,,,,
